Model,RMSE,MAE,R2,MAPE,Training_Time,Source
Linear Regression,51.39756921569735,39.278096708739035,0.9931552091510963,,0.0,Basic ML
Ridge Regression,51.4385673693786,39.402836250242444,0.9931442850660233,,0.0,Basic ML
GradientBoosting,473.1707717261079,321.67004608688666,0.4287020324295915,5.904796363126958,0.0,Deep Learning
GRU,475.9772077870794,437.6014422369196,0.4219050532615208,8.658576273875731,81.47583651542664,Deep Learning
RandomForest,496.3336399039895,329.89866335800974,0.3714001374523038,6.006233682082023,0.0,Deep Learning
XGBoost,572.8663941239498,381.3496846215722,0.1625988530476755,6.893925401278699,0.0,Deep Learning
Random Forest,881.5902535202483,705.009380794702,-1.0137640451899328,,0.0,Basic ML
GARCH-GRU,985.5707342750542,925.2342754379416,-1.4785772385131972,18.363141827899543,0.0,GARCH-DL
